gene,arm,contrast,estimate,P,FDR,n_aptamers
SPP1,accelerator,A-T- vs A+T+ (full AD),0.0774994004174784,1.03313885824903e-39,2.2729054881478658e-38,1
CD44,accelerator,A-T- vs A+T+ (full AD),-0.00256085964285854,0.0515133728450042,0.0755529468393395,1
TREM2,accelerator,A-T- vs A+T+ (full AD),0.027378097445108763,0.000137849707397472,0.000758173390686096,3
C3,accelerator,A-T- vs A+T+ (full AD),0.03392020148104977,0.0604461029200714,0.08311339151509818,6
C1QC,accelerator,A-T- vs A+T+ (full AD),0.00402027162087839,0.0136847527292268,0.0273695054584536,1
CST7,accelerator,A-T- vs A+T+ (full AD),0.00404135505006428,0.0222306767364974,0.04075624068357857,2
GPNMB,accelerator,A-T- vs A+T+ (full AD),0.016143280307920338,0.0270667576699981,0.04580528221076601,4
LPL,accelerator,A-T- vs A+T+ (full AD),0.0188983854292065,0.000898701552541136,0.0032952390259841655,1
CLEC7A,accelerator,A-T- vs A+T+ (full AD),0.00185840608516333,0.387608174984687,0.40606570712681495,1
LGALS3,accelerator,A-T- vs A+T+ (full AD),-0.00449076407901492,0.251409231885954,0.2911054263942625,1
TLR2,accelerator,A-T- vs A+T+ (full AD),-0.00736729196867104,2.07902227834562e-09,2.286924506180182e-08,1
CD68,accelerator,A-T- vs A+T+ (full AD),0.01800710428531615,0.00269512684034546,0.006588087831955568,2
B2M,accelerator,A-T- vs A+T+ (full AD),-0.00226824842899106,0.00263811324010842,0.006588087831955568,2
APOE,accelerator,A-T- vs A+T+ (full AD),0.0029016116025096525,0.0130385767322027,0.0273695054584536,4
IL1B,accelerator,A-T- vs A+T+ (full AD),-0.00526850013032192,0.00084128528528351,0.0032952390259841655,1
TNF,accelerator,A-T- vs A+T+ (full AD),-0.0013375639072561998,0.111567220328879,0.13635993595751877,2
TNFAIP6,brake,A-T- vs A+T+ (full AD),-0.00495227069351848,0.0400425647271301,0.06292403028549017,1
ANXA1,brake,A-T- vs A+T+ (full AD),-0.0207747253101713,0.00134965921927125,0.004241786117709643,1
TGFB1,brake,A-T- vs A+T+ (full AD),0.0013986898048400814,0.606936727902205,0.606936727902205,3
SOCS3,brake,A-T- vs A+T+ (full AD),0.0140129772713281,0.27699981737506,0.304699799112566,1
IL10,brake,A-T- vs A+T+ (full AD),-0.006210461120217441,9.68435105244774e-06,7.101857438461676e-05,2
HYAL1,brake,A-T- vs A+T+ (full AD),-0.00433075083005554,0.0747363503904984,0.09671762991711559,1
SPP1,accelerator,A-T- vs A+T- (amyloid onset),0.00684653619069349,0.308909329890031,0.35768448724108853,1
CD44,accelerator,A-T- vs A+T- (amyloid onset),0.00354510095533503,0.0277978973751016,0.0555957947502032,1
TREM2,accelerator,A-T- vs A+T- (amyloid onset),-0.01986033592621363,0.039588002508315,0.07257800459857751,3
C3,accelerator,A-T- vs A+T- (amyloid onset),-0.03539336351164755,0.00134710719615917,0.004233765473643106,6
C1QC,accelerator,A-T- vs A+T- (amyloid onset),-0.00579773763283597,0.00222599528904923,0.006121487044885382,1
CST7,accelerator,A-T- vs A+T- (amyloid onset),0.0030791013451109506,9.63667902876582e-10,2.1200693863284803e-08,2
GPNMB,accelerator,A-T- vs A+T- (amyloid onset),-0.01237031562392537,0.174747742011996,0.2402781452664945,4
LPL,accelerator,A-T- vs A+T- (amyloid onset),-0.0284371426384922,2.31285672651402e-05,0.00010176569596661688,1
CLEC7A,accelerator,A-T- vs A+T- (amyloid onset),0.00356959156431144,0.149242082421092,0.23066746162873455,1
LGALS3,accelerator,A-T- vs A+T- (amyloid onset),-0.0068678474055944,0.157273269292319,0.23066746162873455,1
TLR2,accelerator,A-T- vs A+T- (amyloid onset),0.0093107691676782,2.48769391962409e-09,2.736463311586499e-08,1
CD68,accelerator,A-T- vs A+T- (amyloid onset),-0.010608454556665,0.193673183820866,0.25063588494465017,2
B2M,accelerator,A-T- vs A+T- (amyloid onset),0.0024554153198572395,1.07244542521955e-05,5.8984498387075245e-05,2
APOE,accelerator,A-T- vs A+T- (amyloid onset),0.0035114313372232027,0.000131484599715235,0.0004821101989558617,4
IL1B,accelerator,A-T- vs A+T- (amyloid onset),0.00973473176403882,2.42445284222509e-07,1.7779320842983994e-06,1
TNF,accelerator,A-T- vs A+T- (amyloid onset),5.9191680495315245e-05,0.976092301167442,0.976092301167442,2
TNFAIP6,brake,A-T- vs A+T- (amyloid onset),0.00829948819229257,0.00443327126041019,0.010836885303224908,1
ANXA1,brake,A-T- vs A+T- (amyloid onset),-0.0156145279530741,0.0599783830298601,0.10150187897360939,1
TGFB1,brake,A-T- vs A+T- (amyloid onset),-0.0054576961204991226,0.443778462808372,0.48815630908920926,3
SOCS3,brake,A-T- vs A+T- (amyloid onset),-0.0167547944570075,0.293710931132751,0.35768448724108853,1
IL10,brake,A-T- vs A+T- (amyloid onset),-0.0008258251145173599,0.0120425087852909,0.02649351932763998,2
HYAL1,brake,A-T- vs A+T- (amyloid onset),0.00161450842631601,0.577308506365156,0.6047993876206396,1
SPP1,accelerator,A+T- vs A+T+ (tau emergence),0.0792278950538811,2.60577031304274e-25,2.866347344347014e-24,1
CD44,accelerator,A+T- vs A+T+ (tau emergence),-0.00495864955724256,0.00359937228846291,0.0052790793564122685,1
TREM2,accelerator,A+T- vs A+T+ (tau emergence),0.05107291291248107,9.44482265885371e-07,2.3087344277197955e-06,3
C3,accelerator,A+T- vs A+T+ (tau emergence),0.07270666083378026,8.13197246993804e-07,2.236292429232961e-06,6
C1QC,accelerator,A+T- vs A+T+ (tau emergence),0.011073223716579,3.48932264771677e-07,1.096644260710985e-06,1
CST7,accelerator,A+T- vs A+T+ (tau emergence),-0.0036708968881162497,1.9669748595633e-17,1.44244823034642e-16,2
GPNMB,accelerator,A+T- vs A+T+ (tau emergence),0.029772897158154538,1.48612035761673e-06,3.2694647867568063e-06,4
LPL,accelerator,A+T- vs A+T+ (tau emergence),0.0598863867837209,1.25401020980124e-14,5.517644923125456e-14,1
CLEC7A,accelerator,A+T- vs A+T+ (tau emergence),-0.00103131785112969,0.705627806883658,0.705627806883658,1
LGALS3,accelerator,A+T- vs A+T+ (tau emergence),0.00979604304484584,0.0542319586209237,0.07018253468590126,1
TLR2,accelerator,A+T- vs A+T+ (tau emergence),-0.0181554477516218,1.25013656357673e-26,2.750300439868806e-25,1
CD68,accelerator,A+T- vs A+T+ (tau emergence),0.0330664182657161,4.1597777282735e-05,7.03962384784746e-05,2
B2M,accelerator,A+T- vs A+T+ (tau emergence),1.0078601223999575e-05,1.30063960004118e-11,4.7690118668176604e-11,2
APOE,accelerator,A+T- vs A+T+ (tau emergence),-0.0012755338585383972,2.8176771835117e-06,5.6353543670234e-06,4
IL1B,accelerator,A+T- vs A+T+ (tau emergence),-0.0174442945295071,3.93940367334248e-17,2.166672020338364e-16,1
TNF,accelerator,A+T- vs A+T+ (tau emergence),-0.00147954947213318,0.360875262935801,0.39696278922938116,2
TNFAIP6,brake,A+T- vs A+T+ (tau emergence),-0.0130765924592639,2.22333488355454e-05,4.0761139531833236e-05,1
ANXA1,brake,A+T- vs A+T+ (tau emergence),-0.00614989662706951,0.459859726853908,0.4817578090850465,1
TGFB1,brake,A+T- vs A+T+ (tau emergence),0.00771312725618294,0.051799289273851,0.07018253468590126,3
SOCS3,brake,A+T- vs A+T+ (tau emergence),0.0271169431905658,0.103557849587654,0.11990908899623094,1
IL10,brake,A+T- vs A+T+ (tau emergence),-0.00466731145840539,0.000373947833103797,0.0005876323091631097,2
HYAL1,brake,A+T- vs A+T+ (tau emergence),-0.00535587500766883,0.0973932089106322,0.11903614422410602,1
